num,SUM,MAE,MSE,MEAN,Var,,
1,118.806973,0.00500957,3.50E-05,0.05354473,2.25E-05,0.05,-0.00354473
2,295.3515984,0.012453685,0.000163725,0.087548399,8.68E-06,0.1,0.012451601
3,77.0457328,0.003248682,1.81E-05,0.147541295,1.21E-05,0.15,0.002458705
4,433.2094758,0.018266549,0.000342323,0.181735525,8.73E-06,0.2,0.018264475
5,175.819727,0.007413549,6.48E-05,0.242635022,1.06E-05,0.25,0.007364978
6,177.3585258,0.007478433,6.57E-05,0.307419647,1.06E-05,0.3,-0.007419647
7,494.2966858,0.020842329,0.000451916,0.329165775,1.79E-05,0.35,0.020834225
8,110.8643582,0.004674665,3.37E-05,0.395921067,1.71E-05,0.4,0.004078933
9,450.7231282,0.019005023,0.000376263,0.431003036,1.54E-05,0.45,0.018996964
10,89.25514758,0.003763499,2.29E-05,0.497052486,1.42E-05,0.5,0.002947514
11,313.8487791,0.01323363,0.000188638,0.563219382,1.39E-05,0.55,-0.013219382
12,70.82149428,0.002986233,1.53E-05,0.598898878,1.41E-05,0.6,0.001101122
13,386.978279,0.016317182,0.000281248,0.666314541,1.51E-05,0.65,-0.016314541
14,274.9343311,0.011592778,0.000145957,0.68846068,1.28E-05,0.7,0.01153932
15,102.9994092,0.004343035,2.70E-05,0.754112501,1.01E-05,0.75,-0.004112501
16,397.5595383,0.016763347,0.000292169,0.816762825,1.12E-05,0.8,-0.016762825
17,71.0973572,0.002997865,1.61E-05,0.851561563,1.37E-05,0.85,-0.001561563
18,308.7335461,0.013017943,0.000180166,0.913016727,1.07E-05,0.9,-0.013016727
19,108.4442773,0.004572621,3.10E-05,0.947952259,2.68E-05,0.95,0.002047741
20,79.29440222,0.003343498,1.57E-05,1.003233802,5.19E-06,1,-0.003233802
