num,SUM,MAE,MSE,MEAN,Var,#VALUE!,#VALUE!
1,85.87647652,0.003668681,1.98E-05,0.100833795,1.92E-05,0.1,-0.000833795
2,243.7187312,0.010411771,0.000128944,0.198317056,0.000126112,0.2,0.001682944
3,135.3695942,0.005783048,4.88E-05,0.295447478,2.80E-05,0.3,0.004552522
4,298.3703868,0.012746513,0.000180463,0.390497497,9.02E-05,0.4,0.009502503
5,50.04626325,0.002137998,9.47E-06,0.499666625,9.36E-06,0.5,0.000333375
6,292.5300195,0.01249701,0.000172474,0.609047344,9.06E-05,0.6,-0.009047344
7,133.5699266,0.005706166,4.67E-05,0.704188862,2.91E-05,0.7,-0.004188862
8,244.4485821,0.01044295,0.000127696,0.801441121,0.000125619,0.8,-0.001441121
9,87.30993041,0.003729918,2.03E-05,0.899068123,1.94E-05,0.9,0.000931877
10,0,0,0,1,0,1,0
