num	SUM	MAE	MSE	MEAN	Var	no!	no	num	SUM	MAE	MSE	MEAN	Var		mid	num	SUM	MAE	MSE	MEAN	Var	#VALUE!	global	num	SUM	MAE	MSE	MEAN	Var	#VALUE!	dehaze	num	SUM	MAE	MSE	MEAN	Var	#VALUE!	dark	num	SUM	MAE	MSE	MEAN	Var	#VALUE!	#VALUE!	num	SUM	MAE	MSE	MEAN	Var	#VALUE!	#VALUE!
1	85.87647652	0.003668681	1.98E-05	0.100833795	1.92E-05	0.1	-0.000833795	1	1376.124696	0.058788649	0.006477941	0.10087081	0.006477183	0.1	-0.00087081	1	104.8750562	0.004480308	3.41E-05	0.100526785	3.38E-05	0.1	-0.000526785	1	998.8884521	0.042672952	0.003698237	0.083753994	0.003434305	0.1	0.016246006	1	1819.423761	0.077726579	0.01010436	0.099159665	0.010103654	0.1	0.000840335	1	1210.267798	0.05170317	0.004371561	0.098707173	0.004369889	0.1	0.001292827	1	1490.256879	0.063664426	0.006106681	0.143761076	0.004191649	0.1	-0.043761076
2	243.7187312	0.010411771	0.000128944	0.198317056	0.000126112	0.2	0.001682944	2	1404.895385	0.060017745	0.006749135	0.197925877	0.006744833	0.2	0.002074123	2	242.9286097	0.010378016	0.000139585	0.198236031	0.000136473	0.2	0.001763969	2	1047.646507	0.044755917	0.003874452	0.180826868	0.003506843	0.2	0.019173132	2	1925.686983	0.08226619	0.011121657	0.200459695	0.011121445	0.2	-0.000459695	2	1231.389375	0.052605493	0.004569057	0.197906006	0.004564672	0.2	0.002093994	2	1504.975799	0.064293224	0.006232333	0.244105698	0.004287021	0.2	-0.044105698
3	135.3695942	0.005783048	4.88E-05	0.295447478	2.80E-05	0.3	0.004552522	3	1386.34093	0.059225091	0.006508237	0.294871469	0.006481935	0.3	0.005128531	3	156.7730764	0.006697414	6.78E-05	0.295155995	4.43E-05	0.3	0.004844005	3	1054.590085	0.04505255	0.003997022	0.277497862	0.003490676	0.3	0.022502138	3	1789.676159	0.076455748	0.009954626	0.300111346	0.009954613	0.3	-0.000111346	3	1164.657739	0.049754688	0.004214957	0.295509683	0.004194794	0.3	0.004490317	3	1469.054893	0.062758668	0.00587417	0.342226858	0.004091062	0.3	-0.042226858
4	298.3703868	0.012746513	0.000180463	0.390497497	9.02E-05	0.4	0.009502503	4	1412.221173	0.060330706	0.006680946	0.390137504	0.006583677	0.4	0.009862496	4	301.4371782	0.012877528	0.000196072	0.390697859	0.000109542	0.4	0.009302141	4	1114.069297	0.047593528	0.004431626	0.371436372	0.003615745	0.4	0.028563628	4	1653.545549	0.070640189	0.008557909	0.395769289	0.00854001	0.4	0.004230711	4	1165.036565	0.049770872	0.004391217	0.39022969	0.004295758	0.4	0.00977031	4	1396.420715	0.059655704	0.005403973	0.437356738	0.004008447	0.4	-0.037356738
5	50.04626325	0.002137998	9.47E-06	0.499666625	9.36E-06	0.5	0.000333375	5	1390.902318	0.059419955	0.006589372	0.499417697	0.006589033	0.5	0.000582303	5	81.68787867	0.003489742	2.19E-05	0.499925821	2.18E-05	0.5	7.41787E-05	5	1011.637185	0.043217583	0.003851559	0.48160804	0.003513295	0.5	0.01839196	5	1816.925128	0.077619836	0.010222559	0.50486564	0.010198885	0.5	-0.00486564	5	1177.345248	0.050296704	0.004252082	0.49894464	0.004250968	0.5	0.00105536	5	1531.97947	0.065446833	0.00633546	0.546477808	0.004175274	0.5	-0.046477808
6	292.5300195	0.01249701	0.000172474	0.609047344	9.06E-05	0.6	-0.009047344	6	1420.942501	0.060703285	0.006903144	0.608840328	0.006824992	0.6	-0.008840328	6	299.4076264	0.012790825	0.000193993	0.608984802	0.000113266	0.6	-0.008984802	6	953.985642	0.040754684	0.003463147	0.591572186	0.003392119	0.6	0.008427814	6	1948.44541	0.08323844	0.011471559	0.613969939	0.0112764	0.6	-0.013969939	6	1218.030828	0.05203481	0.004326149	0.606592592	0.004282687	0.6	-0.006592592	6	1662.375033	0.071017389	0.007289981	0.654209628	0.004351297	0.6	-0.054209628
7	133.5699266	0.005706166	4.67E-05	0.704188862	2.91E-05	0.7	-0.004188862	7	1400.129056	0.059814126	0.006678827	0.703982564	0.006662966	0.7	-0.003982564	7	152.5483793	0.006516933	6.55E-05	0.704379895	4.63E-05	0.7	-0.004379895	7	990.7209045	0.04232403	0.003788885	0.687205095	0.003625175	0.7	0.012794905	7	1908.748831	0.081542585	0.011017069	0.709338274	0.010929866	0.7	-0.009338274	7	1184.444292	0.050599978	0.004264505	0.700732735	0.004263968	0.7	-0.000732735	7	1545.872729	0.066040359	0.006492453	0.748420922	0.004147867	0.7	-0.048420922
8	244.4485821	0.01044295	0.000127696	0.801441121	0.000125619	0.8	-0.001441121	8	1388.048215	0.059298027	0.00645492	0.801209036	0.006453458	0.8	-0.001209036	8	245.0419312	0.010468298	0.00013708	0.801360966	0.000135227	0.8	-0.001360966	8	1047.49945	0.044749635	0.004121137	0.784429404	0.003878694	0.8	0.015570596	8	1663.145738	0.071050313	0.008702222	0.808355137	0.008632414	0.8	-0.008355137	8	1165.520491	0.049791545	0.004199105	0.797891893	0.004194661	0.8	0.002108107	8	1528.733581	0.065308167	0.00634747	0.84538151	0.004287989	0.8	-0.04538151
9	87.30993041	0.003729918	2.03E-05	0.899068123	1.94E-05	0.9	0.000931877	9	1371.59918	0.058595317	0.006364383	0.899211733	0.006363762	0.9	0.000788267	9	107.7344029	0.004602461	3.56E-05	0.899271784	3.51E-05	0.9	0.000728216	9	975.5926658	0.041677745	0.003542825	0.885958802	0.00334567	0.9	0.014041198	9	1779.500135	0.076021024	0.009700845	0.9100849	0.00959914	0.9	-0.0100849	9	1183.2353	0.05054833	0.004327939	0.897667555	0.004322499	0.9	0.002332445	9	1511.632428	0.064577599	0.006246926	0.945376149	0.004187931	0.9	-0.045376149
10	0	0	0	1	0	1	0	10	1345.536282	0.057481899	0.006161668	0.999835493	0.006161641	1	0.000164507	10	70.54710363	0.003013803	1.61E-05	1.000204865	1.61E-05	1	-0.000204865	10	990.4681488	0.042313233	0.004185972	0.985642376	0.00397983	1	0.014357624	10	1761.602985	0.07525645	0.009462553	1.0042012	0.009444903	1	-0.0042012	10	1187.860485	0.05074592	0.004327475	0.994954568	0.004302019	1	0.005045432	10	1479.441922	0.063202406	0.006085776	1.041956067	0.004325465	1	-0.041956067
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
		no																																																					
																																																							
																																																							
																														0	0				dark											0	0								
																																																							
																																																							
																																											gcar												
																		global								dehaze																							gca						
																																																							
											mid																																												
