num no,SUM no,MAE no,MSE no,MEAN no,Var no,Loss no
0,8.185077017730077,0.002884100429080365,1.7450769474051605e-05,0.00035990305750187843,1.7321239263252405e-05,-0.00035990305750187843
0.1,15.843428254626502,0.0055826033314399235,4.6991219173067924e-05,0.09555561752918879,2.7238683626178845e-05,0.00444438247081122
0.2,23.11150876408846,0.00814359012124329,8.973379872914741e-05,0.1927249718833192,3.6807764630657214e-05,0.007275028116680821
0.3,23.78396232953053,0.008380536409277847,9.657081375231e-05,0.29245598392471794,3.965863520809243e-05,0.007544016075282101
0.4,17.45496559199375,0.00615044594502951,5.610926113458161e-05,0.39545561510028643,3.545782701816491e-05,0.004544384899713594
0.5,11.404852949737682,0.004018623308575646,2.911928604566995e-05,0.4992373528354168,2.8537655348714885e-05,0.0007626471645831856
0.6,13.707053988814417,0.004829828748701345,3.70555352848958e-05,0.6037378198575986,2.3084237996295887e-05,-0.003737819857598468
0.7,20.630436847537187,0.007269357592507818,7.172477174758684e-05,0.7067533769893082,2.6116670987730295e-05,-0.006753376989308113
0.8,21.671665726245788,0.007636245851390341,7.869239618646902e-05,0.8072087708796021,2.6726018589884326e-05,-0.007208770879602033
0.9,13.918129937683197,0.004904203642594502,3.684785389042784e-05,0.9039337175674514,2.1373719986783613e-05,-0.003933717567451422
1,8.185077017731071,0.002884100429080716,1.7450769474058544e-05,1.0003599030574999,1.732123926889706e-05,-0.0003599030574998885
