num,SUM,MAE,MSE,MEAN,Var
1,6.160631580116039,0.0014584828551411078,3.4231488493775873e-06,-0.09899896858865338,2.4210849628360925e-06
2,9.00913652748373,0.002132844821847474,6.275797738542238e-06,-0.1980157656584019,2.3386118159635094e-06
3,9.079796534995994,0.0021495730433229152,6.298258055214656e-06,-0.2979886568152672,2.2527566492375195e-06
4,7.816141017446287,0.0018504121726908823,5.1587861216219445e-06,-0.3983262378478326,2.3573063797910354e-06
5,6.0219467006922125,0.0014256502605805427,4.24091475596695e-06,-0.4992076447523913,3.613087916881641e-06
6,5.351877212979491,0.0012670163856485538,3.1046161359247724e-06,-0.6005669166887686,2.78322160185418e-06
7,7.67193563465232,0.001816272640779432,4.892748132235921e-06,-0.7015070568988772,2.6215276333618753e-06
8,8.28730437750779,0.0019619565287660487,5.606177203305946e-06,-0.8018204634442507,2.292090049427209e-06
9,5.439245852166397,0.0012877002490924235,2.8039491929943575e-06,-0.900640952181302,2.3931294911294643e-06
10,5.913089099667535,0.001399879048216746,3.2789702318858838e-06,-1.0002935778205686,3.1927822987665166e-06
