num,SUM,MAE,MSE,MEAN,Var
1,19.08722964007383,0.004518757017062933,4.2892307678797684e-05,-0.09908001561514963,4.204593641040158e-05
2,20.435899115856405,0.0048380442982614595,4.854863574958784e-05,-0.1986140466573271,4.662776908148647e-05
3,20.879616380701385,0.004943090999219078,4.923276729453301e-05,-0.2982195039599668,4.606260114602134e-05
4,19.950629674084578,0.0047231604342056295,4.38276255379463e-05,-0.3986939606913717,4.2121886862006575e-05
5,19.103569935465185,0.00452262545820672,4.3003657391409844e-05,-0.49971323494817477,4.292142319539671e-05
6,19.905468974532273,0.004712468980713133,5.007379960251618e-05,-0.6013414155170776,4.827440401322658e-05
7,19.954239032964054,0.004724014922576718,4.761276663011588e-05,-0.7017686080018294,4.448479236712766e-05
8,20.59079932217218,0.004874715748620308,5.280592992815183e-05,-0.8020367248253137,4.865768191519848e-05
9,19.59527783274602,0.00463903357782813,4.536455761262443e-05,-0.9013688379051896,4.349084040178308e-05
10,19.47781739850797,0.004611225709874046,5.000002226098113e-05,-1.0008784514858184,4.922834524268005e-05
