num,SUM,MAE,MSE,MEAN,Var,,
1,34.92690123,0.001563145,4.60E-06,-0.100514578,4.33E-06,-0.1,-0.000514578
2,23.69780328,0.001060589,2.09E-06,-0.199816764,2.05E-06,-0.2,0.000183236
3,24.29686537,0.0010874,2.60E-06,-0.2995888,2.43E-06,-0.3,0.0004112
4,23.76115151,0.001063424,2.53E-06,-0.399722992,2.45E-06,-0.4,0.000277008
5,23.58333037,0.001055466,2.25E-06,-0.500186897,2.22E-06,-0.5,-0.000186897
6,27.71518934,0.001240386,3.36E-06,-0.600817944,2.69E-06,-0.6,-0.000817944
7,28.26794701,0.001265125,4.03E-06,-0.700831135,3.34E-06,-0.7,-0.000831135
8,26.05426341,0.001166052,2.64E-06,-0.800396977,2.48E-06,-0.8,-0.000396977
9,34.17287659,0.001529398,4.31E-06,-0.89951121,4.07E-06,-0.9,0.00048879
10,45.21473733,0.002023574,6.76E-06,-1.001310842,5.05E-06,-1,-0.001310842
