num,SUM,MAE,MSE,MEAN,Var,,
1,4.672245164,0.001106119,1.46E-06,-0.098905244,2.61E-07,0.1,0.001094756
2,8.766169306,0.002075324,4.63E-06,-0.197925015,3.28E-07,0.2,0.002074985
3,9.434287153,0.002233496,5.46E-06,-0.297768816,4.81E-07,0.3,0.002231184
4,6.682145577,0.001581947,2.87E-06,-0.398438511,4.32E-07,0.4,0.001561489
5,2.466853432,0.000584009,7.34E-07,-0.499545319,5.27E-07,0.5,0.000454681
6,3.153978548,0.000746681,8.17E-07,-0.600664352,3.76E-07,0.6,-0.000664352
7,6.41163172,0.001517905,2.60E-06,-0.701501505,3.45E-07,0.7,-0.001501505
8,7.394986932,0.001750707,3.37E-06,-0.801744667,3.28E-07,0.8,-0.001744667
9,4.76996253,0.001129252,1.48E-06,-0.901124489,2.20E-07,0.9,-0.001124489
10,2.649726313,0.000627303,6.91E-07,-1.000319416,5.89E-07,1,-0.000319416
