num	SUM	MAE	MSE	MEAN	Var	#VALUE!	#VALUE!	num	SUM	MAE	MSE	MEAN	Var			num	SUM	MAE	MSE	MEAN	Var	#VALUE!	#VALUE!	num	SUM	MAE	MSE	MEAN	Var	#VALUE!	#VALUE!
1	85.87647652	0.003668681	1.98E-05	0.100833795	1.92E-05	0.1	-0.000833795	1	1376.124696	0.058788649	0.006477941	0.10087081	0.006477183	0.1	-0.00087081	1	599.3539224	0.025604662	0.001132536	0.099564003	0.001132346	0.1	0.000435997	1	1405.31922	0.060035852	0.006756538	0.100544249	0.006756242	0.1	-0.000544249
2	243.7187312	0.010411771	0.000128944	0.198317056	0.000126112	0.2	0.001682944	2	1404.895385	0.060017745	0.006749135	0.197925877	0.006744833	0.2	0.002074123	2	648.0338718	0.02768429	0.001260299	0.197514341	0.00125412	0.2	0.002485659	2	1433.43387	0.061236922	0.007005572	0.197427958	0.006998956	0.2	0.002572042
3	135.3695942	0.005783048	4.88E-05	0.295447478	2.80E-05	0.3	0.004552522	3	1386.34093	0.059225091	0.006508237	0.294871469	0.006481935	0.3	0.005128531	3	601.0573526	0.025677433	0.001175663	0.294687598	0.001147441	0.3	0.005312402	3	1417.615753	0.060561165	0.006770846	0.293691483	0.006731049	0.3	0.006308517
4	298.3703868	0.012746513	0.000180463	0.390497497	9.02E-05	0.4	0.009502503	4	1412.221173	0.060330706	0.006680946	0.390137504	0.006583677	0.4	0.009862496	4	642.4256769	0.027444706	0.001320967	0.390178393	0.001224503	0.4	0.009821607	4	1441.855355	0.061596692	0.006942079	0.389126721	0.00682385	0.4	0.010873279
5	50.04626325	0.002137998	9.47E-06	0.499666625	9.36E-06	0.5	0.000333375	5	1390.902318	0.059419955	0.006589372	0.499417697	0.006589033	0.5	0.000582303	5	595.6032022	0.025444429	0.001160565	0.49997232	0.001160564	0.5	2.76795E-05	5	1418.736963	0.060609064	0.00685233	0.49893833	0.006851203	0.5	0.00106167
6	292.5300195	0.01249701	0.000172474	0.609047344	9.06E-05	0.6	-0.009047344	6	1420.942501	0.060703285	0.006903144	0.608840328	0.006824992	0.6	-0.008840328	6	655.261509	0.027993058	0.00130034	0.608680863	0.001224983	0.6	-0.008680863	6	1454.930389	0.062155263	0.007274213	0.608808291	0.007196627	0.6	-0.008808291
7	133.5699266	0.005706166	4.67E-05	0.704188862	2.91E-05	0.7	-0.004188862	7	1400.129056	0.059814126	0.006678827	0.703982564	0.006662966	0.7	-0.003982564	7	617.3078515	0.026371661	0.001191338	0.703679201	0.001177802	0.7	-0.003679201	7	1433.536484	0.061241306	0.006983106	0.703989787	0.006967187	0.7	-0.003989787
8	244.4485821	0.01044295	0.000127696	0.801441121	0.000125619	0.8	-0.001441121	8	1388.048215	0.059298027	0.00645492	0.801209036	0.006453458	0.8	-0.001209036	8	612.7079221	0.02617515	0.001224344	0.801193405	0.001222919	0.8	-0.001193405	8	1415.673836	0.060478206	0.006729847	0.80136877	0.006727973	0.8	-0.00136877
9	87.30993041	0.003729918	2.03E-05	0.899068123	1.94E-05	0.9	0.000931877	9	1371.59918	0.058595317	0.006364383	0.899211733	0.006363762	0.9	0.000788267	9	594.9607833	0.025416985	0.001141135	0.897912923	0.001136779	0.9	0.002087077	9	1402.530768	0.059916728	0.006660314	0.89923352	0.006659726	0.9	0.00076648
10	0	0	0	1	0	1	0	10	1345.536282	0.057481899	0.006161668	0.999835493	0.006161641	1	0.000164507	10	592.4035216	0.025307738	0.001119445	0.998332482	0.001116665	1	0.001667518	10	1373.812943	0.05868989	0.006432191	0.998551335	0.006430092	1	0.001448665
